Date,Surface Temp,Wind Direction,Pressure,Wind Speed
1-1-2021,24.77,196.19,100.52,2.0
2-1-2021,25.14,239.31,100.56,1.72
3-1-2021,22.93,226.75,100.5,2.28
4-1-2021,24.39,181.12,100.42,2.21
5-1-2021,23.44,231.62,100.58,2.41
6-1-2021,22.44,176.62,100.63,3.67
7-1-2021,24.84,140.94,100.34,1.76
8-1-2021,24.16,185.75,100.25,3.44
9-1-2021,24.42,57.38,100.34,3.2
10-1-2021,27.01,143.44,100.42,3.1
11-1-2021,28.18,97.12,100.51,3.62
12-1-2021,27.5,153.25,100.61,3.59
13-1-2021,25.5,144.5,100.56,2.98
14-1-2021,26.27,74.62,100.38,3.09
15-1-2021,25.72,203.69,100.34,3.3
16-1-2021,25.89,197.31,100.23,2.2
17-1-2021,26.13,207.62,100.31,2.77
18-1-2021,25.68,251.88,100.49,2.38
19-1-2021,24.27,216.81,100.51,2.12
20-1-2021,23.05,180.94,100.62,2.31
21-1-2021,23.21,197.44,100.58,1.8
22-1-2021,24.15,214.81,100.52,1.67
23-1-2021,24.51,169.69,100.49,2.3
24-1-2021,23.72,167.25,100.63,2.41
25-1-2021,22.44,184.38,100.69,2.91
26-1-2021,22.06,165.56,100.64,2.73
27-1-2021,22.48,178.25,100.62,3.24
28-1-2021,22.05,157.38,100.7,3.3
29-1-2021,22.48,130.25,100.76,3.21
30-1-2021,23.58,123.19,100.69,3.77
31-1-2021,24.3,167.94,100.71,3.15
1-2-2021,25.4,83.25,100.84,3.64
2-2-2021,26.46,169.56,100.8,2.77
3-2-2021,25.07,255.81,100.72,1.7
4-2-2021,24.6,270.62,100.75,2.34
5-2-2021,23.71,214.5,100.72,3.2
6-2-2021,23.59,49.62,100.7,3.91
7-2-2021,24.51,68.75,100.76,3.95
8-2-2021,25.02,72.19,100.76,3.92
9-2-2021,25.66,212.25,100.63,2.91
10-2-2021,24.73,181.0,100.52,1.9
11-2-2021,26.08,184.38,100.41,2.5
12-2-2021,26.48,209.44,100.45,2.34
13-2-2021,26.56,233.69,100.54,2.1
14-2-2021,26.65,254.0,100.57,2.21
15-2-2021,26.26,247.25,100.5,2.11
16-2-2021,26.19,274.94,100.47,2.48
17-2-2021,27.21,209.69,100.45,2.39
18-2-2021,28.74,147.31,100.49,2.96
19-2-2021,28.9,99.19,100.72,4.22
20-2-2021,27.97,89.5,100.78,3.72
21-2-2021,28.5,74.25,100.75,4.02
22-2-2021,29.99,215.75,100.71,2.95
23-2-2021,29.73,187.94,100.57,2.28
24-2-2021,29.38,231.12,100.47,2.04
25-2-2021,29.08,223.81,100.5,2.34
26-2-2021,28.79,258.19,100.39,2.92
27-2-2021,29.62,263.56,100.29,2.77
28-2-2021,30.39,230.94,100.3,2.28
1-3-2021,29.8,258.75,100.57,2.98
2-3-2021,29.47,200.31,100.64,3.04
3-3-2021,29.08,204.06,100.5,2.62
4-3-2021,29.15,172.44,100.47,2.7
5-3-2021,30.31,234.69,100.51,2.48
6-3-2021,30.72,241.19,100.52,2.6
7-3-2021,29.98,236.56,100.46,3.25
8-3-2021,30.65,246.31,100.47,2.18
9-3-2021,30.47,225.0,100.49,2.34
10-3-2021,30.65,234.69,100.51,2.42
11-3-2021,30.65,224.0,100.46,2.67
12-3-2021,30.22,254.19,100.61,2.44
13-3-2021,31.88,207.69,100.58,3.19
14-3-2021,31.92,240.62,100.38,2.6
15-3-2021,31.56,242.94,100.31,2.63
16-3-2021,31.27,225.69,100.35,2.76
17-3-2021,31.93,244.31,100.23,2.55
18-3-2021,31.89,224.06,100.23,2.77
19-3-2021,30.98,267.25,100.32,2.93
20-3-2021,30.86,232.94,100.16,2.77
21-3-2021,30.78,223.5,100.12,2.97
22-3-2021,32.25,272.56,100.31,2.42
23-3-2021,32.49,239.31,100.41,2.22
24-3-2021,32.37,235.25,100.46,2.3
25-3-2021,32.48,210.69,100.39,3.45
26-3-2021,32.85,130.0,100.28,3.3
27-3-2021,33.93,159.94,100.15,3.09
28-3-2021,34.34,208.38,100.09,2.22
29-3-2021,33.44,245.06,100.08,3.03
30-3-2021,31.81,233.62,100.04,3.81
31-3-2021,31.68,229.69,99.97,4.78
